Datetime,Saturday
18/04/2020 17:50,18
18/04/2020 17:55,18
18/04/2020 18:00,15
18/04/2020 18:05,13
18/04/2020 18:10,14
18/04/2020 18:15,15
18/04/2020 18:20,15
18/04/2020 18:25,17
18/04/2020 18:30,24
18/04/2020 18:35,25
18/04/2020 18:40,22
18/04/2020 18:45,25
18/04/2020 18:50,25
18/04/2020 18:55,25
18/04/2020 19:00,21
18/04/2020 19:05,11
18/04/2020 19:10,10
18/04/2020 19:15,12
18/04/2020 19:20,8
18/04/2020 19:25,10
18/04/2020 19:30,8
18/04/2020 19:35,10
18/04/2020 19:40,11
18/04/2020 19:45,9
18/04/2020 19:50,10
18/04/2020 19:55,8
18/04/2020 20:00,8
18/04/2020 20:05,9
18/04/2020 20:10,9
18/04/2020 20:15,7
18/04/2020 20:20,9
18/04/2020 20:25,10
18/04/2020 20:30,8
18/04/2020 20:35,9
18/04/2020 20:40,7
18/04/2020 20:45,10
18/04/2020 20:50,7
18/04/2020 20:55,11
18/04/2020 21:00,9
18/04/2020 21:05,14
18/04/2020 21:10,8
18/04/2020 21:15,12
18/04/2020 21:20,7
18/04/2020 21:25,8
18/04/2020 21:30,7
18/04/2020 21:35,9
18/04/2020 21:40,14
18/04/2020 21:45,9
18/04/2020 21:50,21
18/04/2020 21:55,8
18/04/2020 22:00,7
18/04/2020 22:05,9
18/04/2020 22:10,7
18/04/2020 22:15,5
18/04/2020 22:20,6
18/04/2020 22:25,9
18/04/2020 22:30,6
18/04/2020 22:35,5
18/04/2020 22:40,7
18/04/2020 22:45,7
18/04/2020 22:50,7
18/04/2020 22:55,6
18/04/2020 23:00,6
18/04/2020 23:05,6
18/04/2020 23:10,4
18/04/2020 23:15,8
18/04/2020 23:20,5
18/04/2020 23:25,6
18/04/2020 23:30,4
18/04/2020 23:35,8
18/04/2020 23:40,6
18/04/2020 23:45,8
18/04/2020 23:50,7
18/04/2020 23:55,6
