Datetime,Thursday
16/04/2020 21:30,27
16/04/2020 21:35,31
16/04/2020 21:40,29
16/04/2020 21:45,27
16/04/2020 21:50,31
16/04/2020 21:55,28
16/04/2020 22:00,30
16/04/2020 22:05,34
16/04/2020 22:10,30
16/04/2020 22:15,29
16/04/2020 22:20,29
16/04/2020 22:25,31
16/04/2020 22:30,31
16/04/2020 22:35,28
16/04/2020 22:40,27
16/04/2020 22:45,28
16/04/2020 22:50,28
16/04/2020 22:55,27
16/04/2020 23:00,28
16/04/2020 23:05,27
16/04/2020 23:10,27
16/04/2020 23:15,26
16/04/2020 23:20,29
16/04/2020 23:25,28
16/04/2020 23:30,30
16/04/2020 23:35,28
16/04/2020 23:40,27
16/04/2020 23:45,25
16/04/2020 23:50,29
16/04/2020 23:55,26
