Datetime,Monday
20/04/2020 21:15,3
20/04/2020 21:20,4
20/04/2020 21:25,4
20/04/2020 21:30,3
20/04/2020 21:35,9
20/04/2020 21:40,4
20/04/2020 21:45,6
20/04/2020 21:55,9
20/04/2020 22:00,2
20/04/2020 22:05,10
20/04/2020 22:10,7
20/04/2020 22:15,8
20/04/2020 22:20,4
20/04/2020 22:25,2
20/04/2020 22:30,2
20/04/2020 22:35,4
20/04/2020 22:40,2
20/04/2020 22:45,3
20/04/2020 22:50,3
20/04/2020 22:55,1
20/04/2020 23:00,4
20/04/2020 23:05,2
20/04/2020 23:10,4
20/04/2020 23:15,4
20/04/2020 23:20,1
20/04/2020 23:25,4
20/04/2020 23:30,4
20/04/2020 23:35,1
20/04/2020 23:40,4
20/04/2020 23:45,1
20/04/2020 23:50,2
