Datetime,Sunday
19/04/2020 20:10,35
19/04/2020 20:15,34
19/04/2020 20:20,34
19/04/2020 20:25,34
19/04/2020 20:30,34
19/04/2020 20:35,34
19/04/2020 20:40,34
19/04/2020 20:45,37
19/04/2020 20:50,35
19/04/2020 20:55,35
19/04/2020 21:00,36
19/04/2020 21:05,36
19/04/2020 21:10,34
19/04/2020 21:15,32
19/04/2020 21:20,11
19/04/2020 21:25,2
19/04/2020 21:30,2
19/04/2020 21:35,1
19/04/2020 21:40,2
19/04/2020 21:45,3
19/04/2020 21:50,4
19/04/2020 21:55,1
19/04/2020 22:00,5
19/04/2020 22:05,2
19/04/2020 22:10,4
19/04/2020 22:15,7
19/04/2020 22:20,2
19/04/2020 22:25,2
19/04/2020 22:30,2
19/04/2020 22:35,2
19/04/2020 22:40,1
19/04/2020 22:45,2
19/04/2020 22:50,1
19/04/2020 22:55,3
19/04/2020 23:00,5
19/04/2020 23:05,2
19/04/2020 23:10,1
19/04/2020 23:15,2
19/04/2020 23:20,3
19/04/2020 23:30,1
19/04/2020 23:40,2
19/04/2020 23:45,3
19/04/2020 23:50,1
19/04/2020 23:55,1
