Datetime,Friday
17/04/2020 20:25,36
17/04/2020 20:30,40
17/04/2020 20:35,39
17/04/2020 20:40,20
17/04/2020 20:45,21
17/04/2020 20:50,19
17/04/2020 20:55,23
17/04/2020 21:00,21
17/04/2020 21:05,19
17/04/2020 21:10,23
17/04/2020 21:15,20
17/04/2020 21:20,22
17/04/2020 21:25,19
17/04/2020 21:30,18
17/04/2020 21:35,19
17/04/2020 21:40,22
17/04/2020 21:45,18
17/04/2020 21:50,20
17/04/2020 21:55,38
17/04/2020 22:00,22
17/04/2020 22:05,20
17/04/2020 22:10,19
17/04/2020 22:15,19
17/04/2020 22:20,19
17/04/2020 22:25,20
17/04/2020 22:30,25
17/04/2020 22:35,23
17/04/2020 22:40,23
17/04/2020 22:45,18
17/04/2020 22:50,19
17/04/2020 22:55,20
17/04/2020 23:00,23
17/04/2020 23:05,16
17/04/2020 23:10,20
17/04/2020 23:15,19
17/04/2020 23:20,19
17/04/2020 23:25,16
17/04/2020 23:30,17
17/04/2020 23:35,23
17/04/2020 23:40,19
17/04/2020 23:45,18
17/04/2020 23:50,18
17/04/2020 23:55,19
