Datetime,Tuesday
14/04/2020 17:50,31
14/04/2020 17:55,31
14/04/2020 18:00,31
14/04/2020 18:05,31
14/04/2020 18:10,31
14/04/2020 18:15,34
14/04/2020 18:20,32
14/04/2020 18:25,36
14/04/2020 18:30,31
14/04/2020 18:35,31
14/04/2020 18:40,32
14/04/2020 18:45,33
14/04/2020 18:50,28
14/04/2020 18:55,8
14/04/2020 19:00,11
14/04/2020 19:05,7
14/04/2020 19:10,9
14/04/2020 19:15,9
14/04/2020 19:20,7
14/04/2020 19:25,8
14/04/2020 19:30,9
14/04/2020 19:35,8
14/04/2020 19:40,7
14/04/2020 19:45,8
14/04/2020 19:50,8
14/04/2020 19:55,8
14/04/2020 20:00,13
14/04/2020 20:05,10
14/04/2020 20:10,7
14/04/2020 20:15,6
14/04/2020 20:20,9
14/04/2020 20:25,6
14/04/2020 20:30,13
14/04/2020 20:35,9
14/04/2020 20:40,9
14/04/2020 20:45,7
14/04/2020 20:50,10
14/04/2020 20:55,11
14/04/2020 21:00,9
14/04/2020 21:05,9
14/04/2020 21:10,1
14/04/2020 21:15,4
14/04/2020 21:20,6
14/04/2020 21:25,1
14/04/2020 21:30,7
14/04/2020 21:35,4
14/04/2020 21:40,2
14/04/2020 21:45,3
14/04/2020 21:50,4
14/04/2020 21:55,2
14/04/2020 22:00,5
14/04/2020 22:05,6
14/04/2020 22:10,2
14/04/2020 22:15,1
14/04/2020 22:20,2
14/04/2020 22:30,3
14/04/2020 22:40,4
14/04/2020 22:45,2
14/04/2020 22:50,1
14/04/2020 22:55,1
14/04/2020 23:00,3
14/04/2020 23:05,2
14/04/2020 23:10,1
14/04/2020 23:15,1
14/04/2020 23:20,1
14/04/2020 23:25,1
14/04/2020 23:30,3
14/04/2020 23:35,3
14/04/2020 23:40,1
14/04/2020 23:45,2
14/04/2020 23:55,5
